  dataset       zr a_angryt1_neutralt2_early v_angryt1_neutralt2_early t0_angryt1_neutralt2_early        d a_angryt1_angryt2_early v_angryt1_angryt2_early t0_angryt1_angryt2_early a_neutralt1_angryt2_early v_neutralt1_angryt2_early t0_neutralt1_angryt2_early a_absent_neutralt2_late v_absent_neutralt2_late t0_absent_neutralt2_late a_neutralt1_angryt2_late v_neutralt1_angryt2_late t0_neutralt1_angryt2_late a_neutralt1_neutralt2_early v_neutralt1_neutralt2_early t0_neutralt1_neutralt2_early a_angryt1_neutralt2_late v_angryt1_neutralt2_late t0_angryt1_neutralt2_late a_neutralt1_neutralt2_late v_neutralt1_neutralt2_late t0_neutralt1_neutralt2_late a_absent_neutralt2_early v_absent_neutralt2_early t0_absent_neutralt2_early a_absent_angryt2_late v_absent_angryt2_late t0_absent_angryt2_late a_absent_angryt2_early v_absent_angryt2_early t0_absent_angryt2_early a_angryt1_angryt2_late v_angryt1_angryt2_late t0_angryt1_angryt2_late  penalty      fit     time   method
      125   0.6153   1.5014   0.0417   0.2411  -0.1007   1.9413   0.1445   0.1746   1.7109   0.0907   0.2594   1.7500   0.2511   0.3294   1.9956   0.5810   0.2496   1.8664  -0.0236   0.1975   2.0165   0.2290   0.2765   2.1013   0.7260   0.2037   2.1714   0.3566   0.0645   2.0554   0.4973   0.2974   1.9691   0.6510   0.2360   1.6837   0.4518   0.2691   0.0000 664.0355   0.4800       ML
      127   0.5054   1.7017   0.4227   0.1728   0.0048   1.4268   0.3091   0.2621   1.7206   0.0603   0.1842   1.5280   0.3244   0.2543   1.8058   0.4753   0.1476   1.5371   0.3814   0.2003   1.6482   0.1686   0.2448   1.7550   0.1676   0.1716   1.5755   0.3488   0.2249   1.8038   0.5916   0.2484   1.6717   0.2360   0.2533   1.8022  -0.0058   0.1248   0.0000 655.7094   0.5000       ML
      128   0.4926   1.6617   0.3917   0.1066  -0.0044   1.8059   0.4856   0.1267   1.5643   0.4325   0.1841   1.6607   1.3899   0.1934   1.5759   0.8956   0.1645   1.7514   0.5525   0.0723   1.8046   0.8075   0.1376   1.9836   0.3895   0.0882   1.7800   0.6226   0.1380   1.8758   0.6763   0.0651   1.9348   0.4902   0.0631   1.7034   0.7529   0.0946   0.0000 609.2837   0.5200       ML
      130   0.5624   1.3550   0.0895   0.2558  -0.0592   1.7188   0.1733   0.1543   1.8414   0.1530   0.1480   1.6969   0.1303   0.2610   1.9532   0.0606   0.1259   1.8103  -0.1067   0.1555   1.7794   0.0141   0.1849   1.8021   0.0153   0.1967   1.7874  -0.1300   0.0738   1.8627   0.2724   0.1796   1.9844  -0.0836   0.1150   1.8452  -0.0009   0.2005   0.0000 761.3479   0.4860       ML
      131   0.4729   1.4904   0.1974   0.3014   0.0399   1.7131   0.6474   0.1478   1.5073   0.8272   0.3597   1.3801   1.4423   0.5191   1.7339   1.2278   0.3060   1.4353   0.3960   0.3037   1.5958   0.7301   0.3730   1.6151   1.2323   0.3279   1.7221   1.1211   0.3513   2.2858   1.7896   0.3871   1.7189   1.1425   0.4113   1.7203   1.4078   0.3492   0.0000 417.8836   0.4300       ML
      133   0.4944   1.2437   0.1008   0.2135   0.0264   1.0377   1.0431   0.2848   1.1719   0.7842   0.3084   1.4812   1.9839   0.3260   1.4798   1.3373   0.2817   1.2376   0.5028   0.2867   1.3223   1.0350   0.2928   1.3783   1.4728   0.3081   1.2559   1.2635   0.2752   1.7626   1.6959   0.2092   1.2340   1.6496   0.3340   1.2135   1.0972   0.3415   0.0000 167.7665   0.4390       ML
      134   0.6538   1.6435  -0.0051   0.1838  -0.1053   1.5843   0.1510   0.1960   1.6261   0.2218   0.1573   1.6870   0.2337   0.2794   1.7644   0.7447   0.2059   1.6098  -0.0040   0.1942   1.4418   0.3470   0.2520   1.6705   0.1331   0.1908   1.4676  -0.0326   0.2524   1.9864   0.9641   0.1930   1.6892   0.4035   0.2047   1.7739   0.9640   0.1780   0.0000 502.7017   0.5110       ML
      135   0.5447   1.5886   0.9255   0.1316  -0.0462   1.4770   0.6959   0.2033   1.4537   0.4845   0.1490   1.5587   1.0248   0.3085   1.5765   0.8644   0.2048   1.4195   0.4482   0.1939   1.4839   1.0118   0.2357   1.9312   1.2628   0.1970   1.5287   1.5609   0.2007   1.8022   1.5394   0.2707   1.7947   0.8323   0.2123   1.6179   0.7254   0.2350   0.0000 361.8890   0.5030       ML
      136   0.5861   1.4417   0.1868   0.2465  -0.0544   1.3843   0.3540   0.2694   1.2161   0.8476   0.2941   1.5041   0.3515   0.3906   1.7179   0.4150   0.2909   1.6346   0.3816   0.2433   1.6565   0.6970   0.3027   1.6737   0.5935   0.3049   1.6624   0.6594   0.2617   1.7331   0.4549   0.3889   1.4127   0.6735   0.2975   1.6597   0.9017   0.2564   0.0000 446.7065   0.5310       ML
      137   0.5392   2.2680   0.2339   0.0863  -0.0328   2.1203   0.3257   0.1912   2.2730   0.1436   0.2366   1.9578   0.8326   0.3131   2.0697   0.5248   0.2288   2.1525   0.1054   0.1108   2.0880   0.6069   0.1997   1.8037   0.7566   0.2501   1.9619   0.4111   0.2659   2.1601   0.7689   0.3699   1.8622   0.4873   0.2402   1.7514   0.3439   0.2933   0.0000 840.6967   0.4160       ML
      138   0.4874   0.8872   0.9195   0.2836   0.0066   0.7242   1.5694   0.3052   0.7715   1.8156   0.3112   0.9336   1.3861   0.3201   1.2136   1.1146   0.1967   0.8764   0.5816   0.2863   0.9825   0.8872   0.2726   0.9180   1.1614   0.2982   1.0461   1.1668   0.2963   1.1528   2.2189   0.3271   0.9305   1.3961   0.2573   1.1249   1.5984   0.2242   0.0000 -158.0818   0.4300       ML
