SubName;WhichTrial;WhichBlock;FaceCombination;FacesCorrect;AllAnswers;RTimeWS;RTimeHM;HLcol;HLRAWcol;AllLags;AllSOAs;Tilt4T1;Tilt4T2;STime
101;145;2;5;1;1;0.400787121;0.877824348;1;1;1;1;3;0.3501;-12
101;146;2;2;0;0;0.420948987;0.798927252;1;1;1;1;2;0.2334;-12
101;147;2;3;0;1;0.522477343;0.846412771;1;1;1;1;3;0.3501;-12
101;148;2;2;1;1;1.196175559;1.598105059;1;1;1;1;10;1.167;12
101;149;2;5;1;1;0.775654724;2.455734582;1;1;1;1;5;0.5835;-12
101;150;2;4;0;0;1.447412816;2.057421974;1;1;1;1;5;0.5835;12
101;151;2;2;0;1;0.767932627;1.228945831;1;1;1;1;2;0.2334;-12
101;152;2;2;0;1;0.586166401;1.446200359;1;1;1;1;2;0.2334;12
101;153;2;3;0;0;0.485723465;1.556461992;1;1;1;1;5;0.5835;-12
101;154;2;3;0;0;0.48330335;0.952312565;1;1;1;1;8;0.9336;-12
101;155;2;3;0;1;0.562991471;1.213945469;1;1;1;1;3;0.3501;12
101;156;2;2;0;0;0.525753442;1.006774594;1;1;1;1;5;0.5835;12
101;157;2;4;1;1;0.91541821;1.254407118;1;1;1;1;10;1.167;12
101;158;2;6;0;1;0.822855128;1.323974467;1;1;1;1;3;0.3501;-12
101;159;2;4;0;0;0.667786326;1.033798093;1;1;1;1;1;0.1167;-12
101;160;2;3;1;1;1.236077218;2.221116856;1;1;1;1;8;0.9336;-12
101;161;2;1;0;1;0.731971375;2.811055027;1;1;1;1;2;0.2334;12
101;162;2;6;0;1;0.651045837;1.507067389;1;1;1;1;5;0.5835;-12
101;163;2;4;0;0;0.52855243;0.890595311;1;1;1;1;8;0.9336;12
101;164;2;3;0;0;0.718168431;0.973698728;1;1;1;1;2;0.2334;12
101;165;2;1;0;0;0.762642165;1.193650806;1;1;1;1;1;0.1167;-12
101;166;2;6;1;1;0.806210957;1.077230887;1;1;1;1;10;1.167;-12
101;167;2;4;0;0;0.748098115;0.977083945;1;1;1;1;2;0.2334;-12
101;168;2;3;0;0;0.845297271;1.132296745;1;1;1;1;3;0.3501;-12
101;169;2;3;0;1;2.047875911;3.232673122;1;1;1;1;1;0.1167;12
101;170;2;6;1;1;0.450886672;0.967892436;1;1;1;1;3;0.3501;-12
101;171;2;5;1;0;1.077781276;1.725802529;1;1;1;1;5;0.5835;-12
101;172;2;4;1;0;0.447699211;0.832701665;1;1;1;1;5;0.5835;-12
101;173;2;2;0;1;0.745903596;1.022907735;1;1;1;1;1;0.1167;-12
101;174;2;1;0;1;0.703479423;1.687876193;1;1;1;1;1;0.1167;12
101;175;2;2;0;1;0.632040429;1.041052998;1;1;1;1;5;0.5835;-12
101;176;2;3;0;0;1.197305778;1.422292642;1;1;1;1;8;0.9336;12
101;177;2;4;0;0;0.903184197;1.194182316;1;1;1;1;2;0.2334;12
101;178;2;5;1;1;2.147522702;2.722557149;1;1;1;1;10;1.167;-12
101;179;2;3;0;1;0.967431324;1.604430382;1;1;1;1;2;0.2334;-12
101;180;2;2;1;1;1.463016366;2.464048667;1;1;1;1;10;1.167;-12
101;181;2;3;0;1;1.256077487;1.75807681;1;1;1;1;1;0.1167;12
101;182;2;4;1;1;0.802577744;1.192586826;1;1;1;1;8;0.9336;-12
101;183;2;2;0;1;1.731184829;2.026181274;1;1;1;1;1;0.1167;12
101;184;2;1;0;0;0.565400386;1.154436814;1;1;1;1;1;0.1167;-12
101;185;2;2;0;0;0.413946237;0.829006694;1;1;1;1;3;0.3501;-12
101;186;2;1;1;0;2.798280864;3.207298873;1;1;1;1;8;0.9336;12
101;187;2;1;1;0;2.218028273;2.474010082;1;1;1;1;8;0.9336;-12
101;188;2;3;0;1;0.632893533;0.815922136;1;1;1;1;2;0.2334;12
101;189;2;2;1;1;1.465782715;1.848806006;1;1;1;1;3;0.3501;12
101;190;2;1;0;1;0.696446274;1.237417994;1;1;1;1;5;0.5835;12
101;191;2;3;0;1;1.197678571;1.957683665;1;1;1;1;3;0.3501;-12
101;192;2;5;0;1;0.833967242;2.076318584;1;1;1;1;1;0.1167;-12
101;193;2;5;1;1;1.323176082;2.024201471;1;1;1;1;10;1.167;-12
101;194;2;3;0;1;1.393139263;1.707164795;1;1;1;1;2;0.2334;-12
101;195;2;4;1;1;0.927715582;1.28072311;1;1;1;1;10;1.167;-12
101;196;2;4;1;1;1.155966065;1.407991788;1;1;1;1;2;0.2334;12
101;197;2;4;0;1;1.07757936;2.120641601;1;1;1;1;1;0.1167;-12
101;198;2;1;1;0;1.202532241;2.052566704;1;1;1;1;2;0.2334;-12
101;199;2;6;1;1;0.788050334;1.292120658;1;1;1;1;8;0.9336;-12
101;200;2;1;1;0;0.847398672;1.747455247;1;1;1;1;3;0.3501;-12
101;201;3;4;0;1;0.806313355;1.212335579;1;1;1;1;3;0.3501;-12
101;202;3;4;1;0;1.415248933;1.804276593;1;1;1;1;10;1.167;-12
101;203;3;6;1;1;0.53984662;1.015835546;1;1;1;1;2;0.2334;-12
101;204;3;4;0;1;0.455688822;1.247738762;1;1;1;1;1;0.1167;-12
101;205;3;1;0;1;0.566326449;0.944322953;1;1;1;1;2;0.2334;12
101;206;3;3;0;1;0.345803182;0.732819359;1;1;1;1;5;0.5835;-12
101;207;3;5;1;1;0.375984702;0.78500911;1;1;1;1;5;0.5835;-12
101;208;3;1;0;0;0.471253014;1.249292973;1;1;1;1;1;0.1167;-12
101;209;3;5;1;0;1.207159355;1.969910958;1;1;1;1;3;0.3501;-12
101;210;3;2;1;1;0.617719735;2.089153865;1;1;1;1;8;0.9336;-12
